"acetato de betametasona + fosfato dissódico de betametasona", "3 mg/mL + 3 mg/mL", "suspensão injetável";
"acetato de hidrocortisona", "10 mg/g (1%)", "creme";
"acetato de medroxiprogesterona", "50 mg/mL", "suspensão injetável";
"acetato de medroxiprogesterona", "150 mg/mL", "suspensão injetável";
"acetato de medroxiprogesterona", "10 mg", "comprimido";
"acetato de sódio", "2 mEq/mL", "solução injetável";
"acetazolamida", "250 mg", "comprimido";
"aciclovir", "200 mg", "comprimido";
"aciclovir", "50 mg/g (5%)", "creme";
"aciclovir", "250 mg", "pó para solução injetável";
"ácido acetilsalicílico", "100 mg", "comprimido";
"ácido acetilsalicílico", "500 mg", "comprimido";
"ácido fólico", "5 mg", "comprimido";
"ácido fólico", "0,2 mg/mL", "solução oral";
"ácido salicílico", "50 mg/g (5%) (FN)*", "pomada";
"ácido valproico (valproato de sódio)", "250 mg", "cápsula";
"ácido valproico (valproato de sódio)", "250 mg", "comprimido";
"ácido valproico (valproato de sódio)", "50 mg/mL", "solução oral";
"ácido valproico (valproato de sódio)", "50 mg/mL", "xarope";
"ácido valproico (valproato de sódio)", "500 mg", "comprimido";
"albendazol", "40 mg/mL", "suspensão oral";
"albendazol", "400 mg", "comprimido mastigável";
"alcachofra (Cynara scolymus L.)", "24 mg a 48 mg de derivados de ácido cafeoilquínico expressos em ácido clorogênico (dose diária)", "cápsula";
"alcachofra (Cynara scolymus L.)", "24 mg a 48 mg de derivados de ácido cafeoilquínico expressos em ácido clorogênico (dose diária)", "comprimido";
"alcachofra (Cynara scolymus L.)", "24 mg a 48 mg de derivados de ácido cafeoilquínico expressos em ácido clorogênico (dose diária)", "solução oral";
"alcachofra (Cynara scolymus L.)", "24 mg a 48 mg de derivados de ácido cafeoilquínico expressos em ácido clorogênico (dose diária)", "tintura";
"alcatrão mineral", "10 mg/g (1%) (FN)*", "pomada";
"alendronato de sódio", "10 mg", "comprimido";
"alendronato de sódio", "70 mg", "comprimido";
"alopurinol", "100 mg", "comprimido";
"alopurinol", "300 mg", "comprimido";
"amoxicilina", "50 mg/mL", "suspensão oral";
"amoxicilina", "500 mg", "cápsula";
"amoxicilina", "500 mg", "comprimido";
"amoxicilina + clavulanato de potássio", "50 mg/mL + 12,5 mg/mL", "suspensão oral";
"amoxicilina + clavulanato de potássio", "500 mg + 125 mg", "comprimido";
"anlodipino", "5 mg", "comprimido";
"anlodipino", "10 mg", "comprimido";
"aroeira (Schinus terebinthifolia Raddi)", "1,932 mg de ácido gálico (dose diária)", "gel vaginal";
"aroeira (Schinus terebinthifolia Raddi)", "1,932 mg de ácido gálico (dose diária)", "óvulo vaginal";
"atenolol", "50 mg", "comprimido";
"atenolol", "100 mg", "comprimido";
"azitromicina", "500 mg", "comprimido";
"azitromicina", "40 mg/mL", "pó para suspensão oral";
"babosa [Aloe vera (L.)  Burm. f.]", "10-70%", "gel fresco creme";
"babosa [Aloe vera (L.)  Burm. f.]", "10-70%", "gel fresco gel";
"benzilpenicilina benzatina", "600.000 UI", "pó para suspensão injetável";
"benzilpenicilina benzatina", "600.000 UI", "suspensão injetável";
"benzilpenicilina benzatina", "1.200.000 UI", "pó para suspensão injetável";
"benzilpenicilina benzatina", "1.200.000 UI", "suspensão injetável";
"benzilpenicilina potássica", "5.000.000 UI", "pó para solução injetável";
"benzilpenicilina procaína + benzilpenicilina potássica", "300.000 UI + 100.000 UI", "pó para suspensão injetável";
"benzoilmetronidazol", "40 mg/mL", "suspensão oral";
"bicarbonato de sódio", "1 mEq/mL (8,4%)", "solução injetável";
"brometo de ipratrópio", "0,25 mg/mL", "solução para inalação";
"brometo de ipratrópio", "20 mcg/dose", "solução para inalação oral";
"budesonida", "32 mcg", "suspensão para inalação nasal";
"budesonida", "50 mcg", "suspensão para inalação nasal";
"budesonida", "64 mcg", "suspensão para inalação nasal";
"cabergolina", "0,5 mg", "comprimido";
"captopril", "25 mg", "comprimido";
"carbamazepina", "200 mg", "comprimido";
"carbamazepina", "400 mg", "comprimido";
"carbamazepina", "20 mg/mL", "suspensão ora";
"carbonato de cálcio", "1.250 mg (500 mg de cálcio)", "comprimido";
"carbonato de cálcio + colecalciferol", "1.250 mg (500 mg de cálcio) + 200 UI", "comprimido";
"carbonato de cálcio + colecalciferol", "1.250 mg (500 mg de cálcio) + 400 UI", "comprimido";
"carbonato de cálcio + colecalciferol", "1.500 mg (600 mg de cálcio) + 400 UI", "comprimido";
"carbonato de lítio", "300 mg", "comprimido";
"carvão vegetal ativado", "-", "pó para suspensão oral";
"carvedilol", "3,125 mg", "comprimido";
"carvedilol", "6,25 mg", "comprimido";
"carvedilol", "12,5 mg", "comprimido";
"carvedilol", "25 mg", "comprimido";
"cáscara-sagrada (Rhamnus purshiana DC.)", "20 mg a 30 mg de derivados hidroxiantracênicos expressos em cascarosídeo A (dose diária)", "cápsula";
"cáscara-sagrada (Rhamnus purshiana DC.)", "20 mg a 30 mg de derivados hidroxiantracênicos expressos em cascarosídeo A (dose diária)", "tintura";
"cefalexina", "500 mg", "cápsula";
"cefalexina", "500 mg", "comprimido";
"cefalexina", "50 mg/mL", "suspensão oral";
"cefotaxima sódica", "500 mg", "pó para solução injetável";
"ceftriaxona", "250 mg", "pó para solução injetável";
"ceftriaxona", "500 mg", "pó para solução injetável";
"ceftriaxona", "1 g", "pó para solução injetável";
"cetoconazol", "20 mg/g (2%)", "xampu";
"cianocobalamina", "1.000 mcg", "solução injetável";
"ciprofloxacino", "250 mg", "comprimido";
"ciprofloxacino", "500 mg", "comprimido";
"claritromicina", "250 mg", "comprimido";
"claritromicina", "500 mg", "comprimido";
"claritromicina", "500 mg", "cápsula";
"claritromicina", "50 mg/mL", "suspensão oral";
"clonazepam", "2,5 mg/mL", "solução oral";
"cloranfenicol", "250 mg", "cápsula";
"cloranfenicol", "250 mg", "comprimido";
"cloreto de potássio", "2,56 mEq/mL (19,1%)", "solução injetável";
"cloreto de sódio", "3,4 mEq/mL (20%)", "solução injetável";
"cloreto de sódio", "0,9% (9 mg/mL)", "solução nasal";
"cloreto de sódio", "0,9% (0,154 mEq/mL)", "solução injetável";
"cloridrato de amiodarona", "50 mg/mL", "solução injetável";
"cloridrato de amiodarona", "200 mg", "comprimido";
"cloridrato de amitriptilina", "25 mg", "comprimido";
"cloridrato de amitriptilina", "75 mg", "comprimido";
"cloridrato de biperideno", "2 mg", "comprimido";
"cloridrato de biperideno", "4 mgv", "comprimido de liberação prolongada";
"cloridrato de bupivacaína", "2,5 mg/mL (0,25%)", "solução injetável";
"cloridrato de bupivacaína", "5 mg/mL (0,50%)", "solução injetável";
"cloridrato de clindamicina", "150 mg", "cápsula";
"cloridrato de clindamicina", "300 mg", "cápsula";
"cloridrato de clomipramina", "10 mg", "comprimido";
"cloridrato de clomipramina", "25 mg", "comprimido";
"cloridrato de clorpromazina", "5 mg/mL", "solução injetável";
"cloridrato de clorpromazina", "40 mg/mL", "solução oral";
"cloridrato de clorpromazina", "25 mg", "comprimido";
"cloridrato de clorpromazina", "100 mg", "comprimido";
"cloridrato de dobutamina", "12,5 mg/mL", "solução injetável";
"cloridrato de dopamina", "5 mg/mL", "solução injetável";
"cloridrato de fluoxetina", "20 mg", "cápsula";
"cloridrato de fluoxetina", "20 mg", "comprimido";
"cloridrato de hidralazina", "25 mg", "comprimido";
"cloridrato de hidralazina", "50 mg", "comprimido";
"cloridrato de lidocaína", "10 mg/mL (1%)", "solução injetável";
"cloridrato de lidocaína", "20 mg/mL (2%)", "solução injetável";
"cloridrato de lidocaína", "20 mg/g (2%)", "gel";
"cloridrato de lidocaína", "100 mg/mL", "solução spray";
"cloridrato de lidocaína + glicose", "50 mg/mL + 75 mg/mL  (5% + 7,5%)", "solução injetável";
"cloridrato de lidocaína + hemitartarato de epinefrina", "2% + 1:200.000", "solução injetável";
"cloridrato de lidocaína + hemitartarato de epinefrina", "2% + 1:80.000", "solução injetável";
"cloridrato de lidocaína + hemitartarato de epinefrina", "1% + 1:200.000", "solução injetável";
"cloridrato de metformina", "500 mg", "comprimido";
"cloridrato de metformina", "850 mg", "comprimido";
"cloridrato de metoclopramida", "10 mg", "comprimido";
"cloridrato de metoclopramida", "5 mg/mL", "solução injetável";
"cloridrato de metoclopramida", "4 mg/mL", "solução oral";
"cloridrato de naloxona", "0,4 mg/mL", "solução injetável";
"cloridrato de nortriptilina", "10 mg", "cápsula";
"cloridrato de nortriptilina", "25 mg", "cápsula";
"cloridrato de nortriptilina", "50 mg", "cápsula";
"cloridrato de nortriptilina", "75 mg", "cápsula";
"cloridrato de ondansetrona", "4 mg", "comprimido";
"cloridrato de ondansetrona", "4 mg", "comprimido orodispersível";
"cloridrato de ondansetrona", "8 mg", "comprimido";
"cloridrato de ondansetrona", "8 mg", "comprimido orodispersível";
"cloridrato de pilocarpina", "20 mg/mL (2%)", "solução oftálmica";
"cloridrato de piridoxina", "40 mg", "comprimido";
